source,target,value,shared_articles_count,source_tokens,target_tokens,overlap_tokens,overlap_count
new york city,york city,48,48,city | new | new york | york | york city,city | york | york city,york city | city | york,3
occupied west bank,occupied west,46,46,bank | occupied | occupied west | west | west bank,occupied | occupied west | west,occupied west | occupied | west,3
occupied west bank,west bank,46,46,bank | occupied | occupied west | west | west bank,bank | west | west bank,west bank | bank | west,3
bashar al,president bashar al,34,34,al | bashar | bashar al,al | bashar | bashar al | president | president bashar,bashar al | al | bashar,3
bashar al assad,president bashar al,34,34,al | al assad | assad | bashar | bashar al,al | bashar | bashar al | president | president bashar,bashar al | al | bashar,3
new york,new york times,34,34,new | new york | york,new | new york | times | york | york times,new york | new | york,3
york times,new york times,34,34,times | york | york times,new | new york | times | york | york times,york times | times | york,3
eric adams,eric adams adams,32,32,adams | eric | eric adams,adams | adams adams | eric | eric adams,eric adams | adams | eric,3
federal reserve officials,federal reserve,32,32,federal | federal reserve | officials | reserve | reserve officials,federal | federal reserve | reserve,federal reserve | federal | reserve,3
federal reserve officials,reserve officials,32,32,federal | federal reserve | officials | reserve | reserve officials,officials | reserve | reserve officials,reserve officials | officials | reserve,3
new york,new york times,32,32,new | new york | york,new | new york | times | york | york times,new york | new | york,3
new york times,york times,32,32,new | new york | times | york | york times,times | york | york times,york times | times | york,3
criminal court,international criminal court,31,31,court | criminal | criminal court,court | criminal | criminal court | international | international criminal,criminal court | court | criminal,3
cut interest,cut interest rates,31,31,cut | cut interest | interest,cut | cut interest | interest | interest rates | rates,cut interest | cut | interest,3
cut interest rates,interest rates,31,31,cut | cut interest | interest | interest rates | rates,interest | interest rates | rates,interest rates | interest | rates,3
international criminal,international criminal court,31,31,criminal | international | international criminal,court | criminal | criminal court | international | international criminal,international criminal | criminal | international,3
donald trump,donald trump trump,26,26,donald | donald trump | trump,donald | donald trump | trump | trump trump,donald trump | donald | trump,3
donald trump,elect donald trump,23,23,donald | donald trump | trump,donald | donald trump | elect | elect donald | trump,donald trump | donald | trump,3
elect donald,elect donald trump,23,23,donald | elect | elect donald,donald | donald trump | elect | elect donald | trump,elect donald | donald | elect,3
president elect donald,elect donald,23,23,donald | elect | elect donald | president | president elect,donald | elect | elect donald,elect donald | donald | elect,3
president elect donald,elect donald trump,23,23,donald | elect | elect donald | president | president elect,donald | donald trump | elect | elect donald | trump,elect donald | donald | elect,3
president elect donald,president elect,23,23,donald | elect | elect donald | president | president elect,elect | president | president elect,president elect | elect | president,3
new york times,new york,22,22,new | new york | times | york | york times,new | new york | york,new york | new | york,3
new york times,york times,22,22,new | new york | times | york | york times,times | york | york times,york times | times | york,3
antony blinken blinken,antony blinken,21,21,antony | antony blinken | blinken | blinken blinken,antony | antony blinken | blinken,antony blinken | antony | blinken,3
antony blinken blinken,secretary antony blinken,21,21,antony | antony blinken | blinken | blinken blinken,antony | antony blinken | blinken | secretary | secretary antony,antony blinken | antony | blinken,3
secretary antony blinken,antony blinken,21,21,antony | antony blinken | blinken | secretary | secretary antony,antony | antony blinken | blinken,antony blinken | antony | blinken,3
secretary antony blinken,secretary antony,21,21,antony | antony blinken | blinken | secretary | secretary antony,antony | secretary | secretary antony,secretary antony | antony | secretary,3
wall street,wall street journal,21,21,street | wall | wall street,journal | street | street journal | wall | wall street,wall street | street | wall,3
wall street,wall wall street,21,21,street | wall | wall street,street | wall | wall street | wall wall,wall street | street | wall,3
wall street journal,street journal,21,21,journal | street | street journal | wall | wall street,journal | street | street journal,street journal | journal | street,3
wall street journal,wall wall street,21,21,journal | street | street journal | wall | wall street,street | wall | wall street | wall wall,wall street | street | wall,3
donald trump,donald trump said,20,20,donald | donald trump | trump,donald | donald trump | trump,donald trump | donald | trump,3
president emmanuel macron,emmanuel macron,20,20,emmanuel | emmanuel macron | macron | president | president emmanuel,emmanuel | emmanuel macron | macron,emmanuel macron | emmanuel | macron,3
president emmanuel macron,president emmanuel,20,20,emmanuel | emmanuel macron | macron | president | president emmanuel,emmanuel | president | president emmanuel,president emmanuel | emmanuel | president,3
minister narendra,minister narendra modi,18,18,minister | minister narendra | narendra,minister | minister narendra | modi | narendra | narendra modi,minister narendra | minister | narendra,3
minister narendra,prime minister narendra,18,18,minister | minister narendra | narendra,minister | minister narendra | narendra | prime | prime minister,minister narendra | minister | narendra,3
minister narendra modi,narendra modi,18,18,minister | minister narendra | modi | narendra | narendra modi,modi | narendra | narendra modi,narendra modi | modi | narendra,3
new york city,new york,18,18,city | new | new york | york | york city,new | new york | york,new york | new | york,3
new york city,york city,18,18,city | new | new york | york | york city,city | york | york city,york city | city | york,3
prime minister,prime minister narendra,18,18,minister | prime | prime minister,minister | minister narendra | narendra | prime | prime minister,prime minister | minister | prime,3
prime minister narendra,minister narendra modi,18,18,minister | minister narendra | narendra | prime | prime minister,minister | minister narendra | modi | narendra | narendra modi,minister narendra | minister | narendra,3
donald trump,elect donald trump,17,17,donald | donald trump | trump,donald | donald trump | elect | elect donald | trump,donald trump | donald | trump,3
elect donald,elect donald trump,17,17,donald | elect | elect donald,donald | donald trump | elect | elect donald | trump,elect donald | donald | elect,3
president elect donald,elect donald,17,17,donald | elect | elect donald | president | president elect,donald | elect | elect donald,elect donald | donald | elect,3
president elect donald,elect donald trump,17,17,donald | elect | elect donald | president | president elect,donald | donald trump | elect | elect donald | trump,elect donald | donald | elect,3
president elect donald,president elect,17,17,donald | elect | elect donald | president | president elect,elect | president | president elect,president elect | elect | president,3
nicolás maduro,president nicolás maduro,16,16,maduro | nicol | nicol maduro,maduro | nicol | nicol maduro | president | president nicol,nicol maduro | maduro | nicol,3
president nicolás maduro,president nicolás,16,16,maduro | nicol | nicol maduro | president | president nicol,nicol | president | president nicol,president nicol | nicol | president,3
fight climate change,climate change,15,15,change | climate | climate change | fight | fight climate,change | climate | climate change,climate change | change | climate,3
fight climate change,fight climate,15,15,change | climate | climate change | fight | fight climate,climate | fight | fight climate,fight climate | climate | fight,3
central bank,european central bank,14,14,bank | central | central bank,bank | central | central bank | european | european central,central bank | bank | central,3
european central,european central bank,14,14,central | european | european central,bank | central | central bank | european | european central,european central | central | european,3
interest rate cuts,interest rate,14,14,cuts | interest | interest rate | rate | rate cuts,interest | interest rate | rate,interest rate | interest | rate,3
interest rate cuts,rate cuts,14,14,cuts | interest | interest rate | rate | rate cuts,cuts | rate | rate cuts,rate cuts | cuts | rate,3
swimmers tested positive,swimmers tested,14,14,positive | swimmers | swimmers tested | tested | tested positive,swimmers | swimmers tested | tested,swimmers tested | swimmers | tested,3
swimmers tested positive,tested positive,14,14,positive | swimmers | swimmers tested | tested | tested positive,positive | tested | tested positive,tested positive | positive | tested,3
new york city,new york,13,13,city | new | new york | york | york city,new | new york | york,new york | new | york,3
new york city,york city,13,13,city | new | new york | york | york city,city | york | york city,york city | city | york,3
united automobile,united automobile workers,13,13,automobile | united | united automobile,automobile | automobile workers | united | united automobile | workers,united automobile | automobile | united,3
united automobile workers,automobile workers,13,13,automobile | automobile workers | united | united automobile | workers,automobile | automobile workers | workers,automobile workers | automobile | workers,3
emmanuel macron france,emmanuel macron,12,12,emmanuel | emmanuel macron | france | macron | macron france,emmanuel | emmanuel macron | macron,emmanuel macron | emmanuel | macron,3
gov kathy hochul,gov kathy,12,12,gov | gov kathy | hochul | kathy | kathy hochul,gov | gov kathy | kathy,gov kathy | gov | kathy,3
gov kathy hochul,kathy hochul,12,12,gov | gov kathy | hochul | kathy | kathy hochul,hochul | kathy | kathy hochul,kathy hochul | hochul | kathy,3
kamala harris,kamala harris harris,12,12,harris | kamala | kamala harris,harris | harris harris | kamala | kamala harris,kamala harris | harris | kamala,3
macron france,emmanuel macron france,12,12,france | macron | macron france,emmanuel | emmanuel macron | france | macron | macron france,macron france | france | macron,3
paperbacks read,paperbacks read week,12,12,paperbacks | paperbacks read | read,paperbacks | paperbacks read | read | read week | week,paperbacks read | paperbacks | read,3
read week,paperbacks read week,12,12,read | read week | week,paperbacks | paperbacks read | read | read week | week,read week | read | week,3
cease fire deal,gaza cease fire,11,11,cease | cease fire | deal | fire | fire deal,cease | cease fire | fire | gaza | gaza cease,cease fire | cease | fire,3
chair federal,chair federal reserve,11,11,chair | chair federal | federal,chair | chair federal | federal | federal reserve | reserve,chair federal | chair | federal,3
chinese swimmers,chinese swimmers tested,11,11,chinese | chinese swimmers | swimmers,chinese | chinese swimmers | swimmers | swimmers tested | tested,chinese swimmers | chinese | swimmers,3
chinese swimmers,elite chinese swimmers,11,11,chinese | chinese swimmers | swimmers,chinese | chinese swimmers | elite | elite chinese | swimmers,chinese swimmers | chinese | swimmers,3
chinese swimmers tested,swimmers tested,11,11,chinese | chinese swimmers | swimmers | swimmers tested | tested,swimmers | swimmers tested | tested,swimmers tested | swimmers | tested,3
cutting interest,cutting interest rates,11,11,cutting | cutting interest | interest,cutting | cutting interest | interest | interest rates | rates,cutting interest | cutting | interest,3
donald trump,donald trump trump,11,11,donald | donald trump | trump,donald | donald trump | trump | trump trump,donald trump | donald | trump,3
east gulf,east gulf coasts,11,11,east | east gulf | gulf,coasts | east | east gulf | gulf | gulf coasts,east gulf | east | gulf,3
elite chinese swimmers,elite chinese,11,11,chinese | chinese swimmers | elite | elite chinese | swimmers,chinese | elite | elite chinese,elite chinese | chinese | elite,3
federal reserve,chair federal reserve,11,11,federal | federal reserve | reserve,chair | chair federal | federal | federal reserve | reserve,federal reserve | federal | reserve,3
gulf coasts,east gulf coasts,11,11,coasts | gulf | gulf coasts,coasts | east | east gulf | gulf | gulf coasts,gulf coasts | coasts | gulf,3
interest rates,cutting interest rates,11,11,interest | interest rates | rates,cutting | cutting interest | interest | interest rates | rates,interest rates | interest | rates,3
jerome powell,jerome powell chair,11,11,jerome | jerome powell | powell,chair | jerome | jerome powell | powell | powell chair,jerome powell | jerome | powell,3
jerome powell chair,powell chair,11,11,chair | jerome | jerome powell | powell | powell chair,chair | powell | powell chair,powell chair | chair | powell,3
justin trudeau,justin trudeau trudeau,11,11,justin | justin trudeau | trudeau,justin | justin trudeau | trudeau | trudeau trudeau,justin trudeau | justin | trudeau,3
justin trudeau,prime justin trudeau,11,11,justin | justin trudeau | trudeau,justin | justin trudeau | prime | prime justin | trudeau,justin trudeau | justin | trudeau,3
prime justin,prime justin trudeau,11,11,justin | prime | prime justin,justin | justin trudeau | prime | prime justin | trudeau,prime justin | justin | prime,3
prime justin trudeau,justin trudeau trudeau,11,11,justin | justin trudeau | prime | prime justin | trudeau,justin | justin trudeau | trudeau | trudeau trudeau,justin trudeau | justin | trudeau,3
swimmers tested positive,chinese swimmers tested,11,11,positive | swimmers | swimmers tested | tested | tested positive,chinese | chinese swimmers | swimmers | swimmers tested | tested,swimmers tested | swimmers | tested,3
anti doping,anti doping agency,10,10,anti | anti doping | doping,agency | anti | anti doping | doping | doping agency,anti doping | anti | doping,3
anti doping agency,doping agency,10,10,agency | anti | anti doping | doping | doping agency,agency | doping | doping agency,doping agency | agency | doping,3
chair federal,powell chair federal,10,10,chair | chair federal | federal,chair | chair federal | federal | powell | powell chair,chair federal | chair | federal,3
chair federal reserve,powell chair federal,10,10,chair | chair federal | federal | federal reserve | reserve,chair | chair federal | federal | powell | powell chair,chair federal | chair | federal,3
chancellor olaf scholz,chancellor olaf,10,10,chancellor | chancellor olaf | olaf | olaf scholz | scholz,chancellor | chancellor olaf | olaf,chancellor olaf | chancellor | olaf,3
consumer price,consumer price index,10,10,consumer | consumer price | price,consumer | consumer price | index | price | price index,consumer price | consumer | price,3
high interest rates,high interest,10,10,high | high interest | interest | interest rates | rates,high | high interest | interest,high interest | high | interest,3
interest rates,high interest rates,10,10,interest | interest rates | rates,high | high interest | interest | interest rates | rates,interest rates | interest | rates,3
interest rates,lower interest rates,10,10,interest | interest rates | rates,interest | interest rates | lower | lower interest | rates,interest rates | interest | rates,3
jerome powell chair,powell chair federal,10,10,chair | jerome | jerome powell | powell | powell chair,chair | chair federal | federal | powell | powell chair,powell chair | chair | powell,3
lower interest,lower interest rates,10,10,interest | lower | lower interest,interest | interest rates | lower | lower interest | rates,lower interest | interest | lower,3
minister giorgia meloni,giorgia meloni,10,10,giorgia | giorgia meloni | meloni | minister | minister giorgia,giorgia | giorgia meloni | meloni,giorgia meloni | giorgia | meloni,3
minister giorgia meloni,minister giorgia,10,10,giorgia | giorgia meloni | meloni | minister | minister giorgia,giorgia | minister | minister giorgia,minister giorgia | giorgia | minister,3
minister giorgia meloni,prime minister giorgia,10,10,giorgia | giorgia meloni | meloni | minister | minister giorgia,giorgia | minister | minister giorgia | prime | prime minister,minister giorgia | giorgia | minister,3
minister keir starmer,keir starmer,10,10,keir | keir starmer | minister | minister keir | starmer,keir | keir starmer | starmer,keir starmer | keir | starmer,3
minister keir starmer,minister keir,10,10,keir | keir starmer | minister | minister keir | starmer,keir | minister | minister keir,minister keir | keir | minister,3
minister keir starmer,prime minister keir,10,10,keir | keir starmer | minister | minister keir | starmer,keir | minister | minister keir | prime | prime minister,minister keir | keir | minister,3
new york,new york city,10,10,new | new york | york,city | new | new york | york | york city,new york | new | york,3
new york,new york times,10,10,new | new york | york,new | new york | times | york | york times,new york | new | york,3
olaf scholz,chancellor olaf scholz,10,10,olaf | olaf scholz | scholz,chancellor | chancellor olaf | olaf | olaf scholz | scholz,olaf scholz | olaf | scholz,3
powell chair,powell chair federal,10,10,chair | powell | powell chair,chair | chair federal | federal | powell | powell chair,powell chair | chair | powell,3
president emmanuel macron,emmanuel macron france,10,10,emmanuel | emmanuel macron | macron | president | president emmanuel,emmanuel | emmanuel macron | france | macron | macron france,emmanuel macron | emmanuel | macron,3
price index,consumer price index,10,10,index | price | price index,consumer | consumer price | index | price | price index,price index | index | price,3
prime minister,prime minister giorgia,10,10,minister | prime | prime minister,giorgia | minister | minister giorgia | prime | prime minister,prime minister | minister | prime,3
prime minister,prime minister keir,10,10,minister | prime | prime minister,keir | minister | minister keir | prime | prime minister,prime minister | minister | prime,3
prime minister giorgia,minister giorgia,10,10,giorgia | minister | minister giorgia | prime | prime minister,giorgia | minister | minister giorgia,minister giorgia | giorgia | minister,3
prime minister keir,minister keir,10,10,keir | minister | minister keir | prime | prime minister,keir | minister | minister keir,minister keir | keir | minister,3
world anti,world anti doping,10,10,anti | world | world anti,anti | anti doping | doping | world | world anti,world anti | anti | world,3
world anti doping,anti doping,10,10,anti | anti doping | doping | world | world anti,anti | anti doping | doping,anti doping | anti | doping,3
world anti doping,anti doping agency,10,10,anti | anti doping | doping | world | world anti,agency | anti | anti doping | doping | doping agency,anti doping | anti | doping,3
york city,new york city,10,10,city | york | york city,city | new | new york | york | york city,york city | city | york,3
york times,new york times,10,10,times | york | york times,new | new york | times | york | york times,york times | times | york,3
ahead read visiting,ahead read,9,9,ahead | ahead read | read | read visiting | visiting,ahead | ahead read | read,ahead read | ahead | read,3
ahead read visiting,read visiting,9,9,ahead | ahead read | read | read visiting | visiting,read | read visiting | visiting,read visiting | read | visiting,3
banned drug,positive banned drug,9,9,banned | banned drug | drug,banned | banned drug | drug | positive | positive banned,banned drug | banned | drug,3
called turning points,called turning,9,9,called | called turning | points | turning | turning points,called | called turning | turning,called turning | called | turning,3
called turning points,turning points series,9,9,called | called turning | points | turning | turning points,points | points series | series | turning | turning points,turning points | points | turning,3
called turning points,turning points writers,9,9,called | called turning | points | turning | turning points,points | points writers | turning | turning points | writers,turning points | points | turning,3
called turning points,visiting turning points,9,9,called | called turning | points | turning | turning points,points | turning | turning points | visiting | visiting turning,turning points | points | turning,3
critical moments,critical moments year,9,9,critical | critical moments | moments,critical | critical moments | moments | moments year | year,critical moments | critical | moments,3
democratic republic,democratic republic congo,9,9,democratic | democratic republic | republic,congo | democratic | democratic republic | republic | republic congo,democratic republic | democratic | republic,3
democratic republic congo,republic congo,9,9,congo | democratic | democratic republic | republic | republic congo,congo | republic | republic congo,republic congo | congo | republic,3
explore critical,explore critical moments,9,9,critical | explore | explore critical,critical | critical moments | explore | explore critical | moments,explore critical | critical | explore,3
explore critical,writers explore critical,9,9,critical | explore | explore critical,critical | explore | explore critical | writers | writers explore,explore critical | critical | explore,3
explore critical moments,critical moments,9,9,critical | critical moments | explore | explore critical | moments,critical | critical moments | moments,critical moments | critical | moments,3
explore critical moments,critical moments year,9,9,critical | critical moments | explore | explore critical | moments,critical | critical moments | moments | moments year | year,critical moments | critical | moments,3
explore critical moments,writers explore critical,9,9,critical | critical moments | explore | explore critical | moments,critical | explore | explore critical | writers | writers explore,explore critical | critical | explore,3
mean year ahead,mean year,9,9,ahead | mean | mean year | year | year ahead,mean | mean year | year,mean year | mean | year,3
mean year ahead,year ahead,9,9,ahead | mean | mean year | year | year ahead,ahead | year | year ahead,year ahead | ahead | year,3
might mean year,mean year,9,9,mean | mean year | might | might mean | year,mean | mean year | year,mean year | mean | year,3
might mean year,mean year ahead,9,9,mean | mean year | might | might mean | year,ahead | mean | mean year | year | year ahead,mean year | mean | year,3
might mean year,might mean,9,9,mean | mean year | might | might mean | year,mean | might | might mean,might mean | mean | might,3
moments year,critical moments year,9,9,moments | moments year | year,critical | critical moments | moments | moments year | year,moments year | moments | year,3
moments year,moments year might,9,9,moments | moments year | year,might | moments | moments year | year | year might,moments year | moments | year,3
moments year might,critical moments year,9,9,might | moments | moments year | year | year might,critical | critical moments | moments | moments year | year,moments year | moments | year,3
nations climate,united nations climate,9,9,climate | nations | nations climate,climate | nations | nations climate | united | united nations,nations climate | climate | nations,3
part series,part series called,9,9,part | part series | series,called | part | part series | series | series called,part series | part | series,3
points series,points series page,9,9,points | points series | series,page | points | points series | series | series page,points series | points | series,3
points series,turning points series,9,9,points | points series | series,points | points series | series | turning | turning points,points series | points | series,3
points writers,points writers explore,9,9,points | points writers | writers,explore | points | points writers | writers | writers explore,points writers | points | writers,3
points writers,turning points writers,9,9,points | points writers | writers,points | points writers | turning | turning points | writers,points writers | points | writers,3
points writers explore,writers explore,9,9,explore | points | points writers | writers | writers explore,explore | writers | writers explore,writers explore | explore | writers,3
points writers explore,writers explore critical,9,9,explore | points | points writers | writers | writers explore,critical | explore | explore critical | writers | writers explore,writers explore | explore | writers,3
positive banned,positive banned drug,9,9,banned | positive | positive banned,banned | banned drug | drug | positive | positive banned,positive banned | banned | positive,3
positive banned,tested positive banned,9,9,banned | positive | positive banned,banned | positive | positive banned | tested | tested positive,positive banned | banned | positive,3
read visiting turning,ahead read visiting,9,9,read | read visiting | turning | visiting | visiting turning,ahead | ahead read | read | read visiting | visiting,read visiting | read | visiting,3
read visiting turning,read visiting,9,9,read | read visiting | turning | visiting | visiting turning,read | read visiting | visiting,read visiting | read | visiting,3
read visiting turning,visiting turning,9,9,read | read visiting | turning | visiting | visiting turning,turning | visiting | visiting turning,visiting turning | turning | visiting,3
read visiting turning,visiting turning points,9,9,read | read visiting | turning | visiting | visiting turning,points | turning | turning points | visiting | visiting turning,visiting turning | turning | visiting,3
series called,part series called,9,9,called | series | series called,called | part | part series | series | series called,series called | called | series,3
series called turning,called turning,9,9,called | called turning | series | series called | turning,called | called turning | turning,called turning | called | turning,3
series called turning,called turning points,9,9,called | called turning | series | series called | turning,called | called turning | points | turning | turning points,called turning | called | turning,3
series called turning,part series called,9,9,called | called turning | series | series called | turning,called | part | part series | series | series called,series called | called | series,3
series called turning,series called,9,9,called | called turning | series | series called | turning,called | series | series called,series called | called | series,3
series page,points series page,9,9,page | series | series page,page | points | points series | series | series page,series page | page | series,3
tested positive banned,positive banned drug,9,9,banned | positive | positive banned | tested | tested positive,banned | banned drug | drug | positive | positive banned,positive banned | banned | positive,3
tested positive banned,swimmers tested positive,9,9,banned | positive | positive banned | tested | tested positive,positive | swimmers | swimmers tested | tested | tested positive,tested positive | positive | tested,3
tested positive banned,tested positive,9,9,banned | positive | positive banned | tested | tested positive,positive | tested | tested positive,tested positive | positive | tested,3
turning points,called turning points,9,9,points | turning | turning points,called | called turning | points | turning | turning points,turning points | points | turning,3
turning points,turning points series,9,9,points | turning | turning points,points | points series | series | turning | turning points,turning points | points | turning,3
turning points,turning points writers,9,9,points | turning | turning points,points | points writers | turning | turning points | writers,turning points | points | turning,3
turning points,visiting turning points,9,9,points | turning | turning points,points | turning | turning points | visiting | visiting turning,turning points | points | turning,3
turning points series,points series page,9,9,points | points series | series | turning | turning points,page | points | points series | series | series page,points series | points | series,3
turning points series,visiting turning points,9,9,points | points series | series | turning | turning points,points | turning | turning points | visiting | visiting turning,turning points | points | turning,3
turning points writers,points writers explore,9,9,points | points writers | turning | turning points | writers,explore | points | points writers | writers | writers explore,points writers | points | writers,3
turning points writers,turning points series,9,9,points | points writers | turning | turning points | writers,points | points series | series | turning | turning points,turning points | points | turning,3
turning points writers,visiting turning points,9,9,points | points writers | turning | turning points | writers,points | turning | turning points | visiting | visiting turning,turning points | points | turning,3
united nations,united nations climate,9,9,nations | united | united nations,climate | nations | nations climate | united | united nations,united nations | nations | united,3
visiting turning,visiting turning points,9,9,turning | visiting | visiting turning,points | turning | turning points | visiting | visiting turning,visiting turning | turning | visiting,3
writers explore,writers explore critical,9,9,explore | writers | writers explore,critical | explore | explore critical | writers | writers explore,writers explore | explore | writers,3
year ahead read,ahead read,9,9,ahead | ahead read | read | year | year ahead,ahead | ahead read | read,ahead read | ahead | read,3
year ahead read,ahead read visiting,9,9,ahead | ahead read | read | year | year ahead,ahead | ahead read | read | read visiting | visiting,ahead read | ahead | read,3
year ahead read,mean year ahead,9,9,ahead | ahead read | read | year | year ahead,ahead | mean | mean year | year | year ahead,year ahead | ahead | year,3
year ahead read,year ahead,9,9,ahead | ahead read | read | year | year ahead,ahead | year | year ahead,year ahead | ahead | year,3
year might,moments year might,9,9,might | year | year might,might | moments | moments year | year | year might,year might | might | year,3
year might mean,might mean,9,9,mean | might | might mean | year | year might,mean | might | might mean,might mean | mean | might,3
year might mean,moments year might,9,9,mean | might | might mean | year | year might,might | moments | moments year | year | year might,year might | might | year,3
year might mean,year might,9,9,mean | might | might mean | year | year might,might | year | year might,year might | might | year,3
african country,west african country,8,8,african | african country | country,african | african country | country | west | west african,african country | african | country,3
burning planet,eat burning planet,8,8,burning | burning planet | planet,burning | burning planet | eat | eat burning | planet,burning planet | burning | planet,3
civil rights,civil rights movement,8,8,civil | civil rights | rights,civil | civil rights | movement | rights | rights movement,civil rights | civil | rights,3
civil rights movement,rights movement,8,8,civil | civil rights | movement | rights | rights movement,movement | rights | rights movement,rights movement | movement | rights,3
donald trump said,elect donald trump,8,8,donald | donald trump | trump,donald | donald trump | elect | elect donald | trump,donald trump | donald | trump,3
eat burning,eat burning planet,8,8,burning | eat | eat burning,burning | burning planet | eat | eat burning | planet,eat burning | burning | eat,3
environmental protection,environmental protection agency,8,8,environmental | environmental protection | protection,agency | environmental | environmental protection | protection | protection agency,environmental protection | environmental | protection,3
far right national,far right,8,8,far | far right | national | right | right national,far | far right | right,far right | far | right,3
fossil fuels,burning fossil fuels,8,8,fossil | fossil fuels | fuels,burning | burning fossil | fossil | fossil fuels | fuels,fossil fuels | fossil | fuels,3
gas emissions,greenhouse gas emissions,8,8,emissions | gas | gas emissions,emissions | gas | gas emissions | greenhouse | greenhouse gas,gas emissions | emissions | gas,3
greenhouse gas emissions,greenhouse gas,8,8,emissions | gas | gas emissions | greenhouse | greenhouse gas,gas | greenhouse | greenhouse gas,greenhouse gas | gas | greenhouse,3
israeli soccer,israeli soccer fans,8,8,israeli | israeli soccer | soccer,fans | israeli | israeli soccer | soccer | soccer fans,israeli soccer | israeli | soccer,3
national association realtors,association realtors,8,8,association | association realtors | national | national association | realtors,association | association realtors | realtors,association realtors | association | realtors,3
national association realtors,national association,8,8,association | association realtors | national | national association | realtors,association | national | national association,national association | association | national,3
new paperbacks,new paperbacks read,8,8,new | new paperbacks | paperbacks,new | new paperbacks | paperbacks | paperbacks read | read,new paperbacks | new | paperbacks,3
