source,target,value,shared_articles_count,source_tokens,target_tokens,overlap_tokens,overlap_count
chancellor olaf scholz,olaf scholz,10,0,chancellor | chancellor olaf | olaf | olaf scholz | scholz,olaf | olaf scholz | scholz,olaf scholz | olaf | scholz,3
consumer price,consumer price index,10,0,consumer | consumer price | price,consumer | consumer price | index | price | price index,consumer price | consumer | price,3
consumer price index,price index,10,0,consumer | consumer price | index | price | price index,index | price | price index,price index | index | price,3
giorgia meloni,minister giorgia meloni,10,0,giorgia | giorgia meloni | meloni,giorgia | giorgia meloni | meloni | minister | minister giorgia,giorgia meloni | giorgia | meloni,3
high interest,high interest rates,10,0,high | high interest | interest,high | high interest | interest | interest rates | rates,high interest | high | interest,3
high interest rates,interest rates,10,0,high | high interest | interest | interest rates | rates,interest | interest rates | rates,interest rates | interest | rates,3
interest rates,lower interest rates,10,0,interest | interest rates | rates,interest | interest rates | lower | lower interest | rates,interest rates | interest | rates,3
jerome powell chair,powell chair federal,10,0,chair | jerome | jerome powell | powell | powell chair,chair | chair federal | federal | powell | powell chair,powell chair | chair | powell,3
keir starmer,minister keir starmer,10,0,keir | keir starmer | starmer,keir | keir starmer | minister | minister keir | starmer,keir starmer | keir | starmer,3
lower interest,lower interest rates,10,0,interest | lower | lower interest,interest | interest rates | lower | lower interest | rates,lower interest | interest | lower,3
minister giorgia,minister giorgia meloni,10,0,giorgia | minister | minister giorgia,giorgia | giorgia meloni | meloni | minister | minister giorgia,minister giorgia | giorgia | minister,3
minister giorgia,prime minister giorgia,10,0,giorgia | minister | minister giorgia,giorgia | minister | minister giorgia | prime | prime minister,minister giorgia | giorgia | minister,3
minister giorgia meloni,prime minister giorgia,10,0,giorgia | giorgia meloni | meloni | minister | minister giorgia,giorgia | minister | minister giorgia | prime | prime minister,minister giorgia | giorgia | minister,3
minister keir,minister keir starmer,10,0,keir | minister | minister keir,keir | keir starmer | minister | minister keir | starmer,minister keir | keir | minister,3
minister keir,prime minister keir,10,0,keir | minister | minister keir,keir | minister | minister keir | prime | prime minister,minister keir | keir | minister,3
minister keir starmer,prime minister keir,10,0,keir | keir starmer | minister | minister keir | starmer,keir | minister | minister keir | prime | prime minister,minister keir | keir | minister,3
powell chair,powell chair federal,10,0,chair | powell | powell chair,chair | chair federal | federal | powell | powell chair,powell chair | chair | powell,3
prime minister,prime minister giorgia,10,0,minister | prime | prime minister,giorgia | minister | minister giorgia | prime | prime minister,prime minister | minister | prime,3
prime minister,prime minister keir,10,0,minister | prime | prime minister,keir | minister | minister keir | prime | prime minister,prime minister | minister | prime,3
world anti,world anti doping,10,0,anti | world | world anti,anti | anti doping | doping | world | world anti,world anti | anti | world,3
ahead read,ahead read visiting,9,0,ahead | ahead read | read,ahead | ahead read | read | read visiting | visiting,ahead read | ahead | read,3
ahead read,year ahead read,9,0,ahead | ahead read | read,ahead | ahead read | read | year | year ahead,ahead read | ahead | read,3
ahead read visiting,read visiting,9,0,ahead | ahead read | read | read visiting | visiting,read | read visiting | visiting,read visiting | read | visiting,3
ahead read visiting,read visiting turning,9,0,ahead | ahead read | read | read visiting | visiting,read | read visiting | turning | visiting | visiting turning,read visiting | read | visiting,3
ahead read visiting,year ahead read,9,0,ahead | ahead read | read | read visiting | visiting,ahead | ahead read | read | year | year ahead,ahead read | ahead | read,3
banned drug,positive banned drug,9,0,banned | banned drug | drug,banned | banned drug | drug | positive | positive banned,banned drug | banned | drug,3
called turning,called turning points,9,0,called | called turning | turning,called | called turning | points | turning | turning points,called turning | called | turning,3
called turning,series called turning,9,0,called | called turning | turning,called | called turning | series | series called | turning,called turning | called | turning,3
called turning points,series called turning,9,0,called | called turning | points | turning | turning points,called | called turning | series | series called | turning,called turning | called | turning,3
called turning points,turning points,9,0,called | called turning | points | turning | turning points,points | turning | turning points,turning points | points | turning,3
called turning points,turning points series,9,0,called | called turning | points | turning | turning points,points | points series | series | turning | turning points,turning points | points | turning,3
called turning points,turning points writers,9,0,called | called turning | points | turning | turning points,points | points writers | turning | turning points | writers,turning points | points | turning,3
called turning points,visiting turning points,9,0,called | called turning | points | turning | turning points,points | turning | turning points | visiting | visiting turning,turning points | points | turning,3
critical moments,critical moments year,9,0,critical | critical moments | moments,critical | critical moments | moments | moments year | year,critical moments | critical | moments,3
critical moments,explore critical moments,9,0,critical | critical moments | moments,critical | critical moments | explore | explore critical | moments,critical moments | critical | moments,3
critical moments year,explore critical moments,9,0,critical | critical moments | moments | moments year | year,critical | critical moments | explore | explore critical | moments,critical moments | critical | moments,3
critical moments year,moments year,9,0,critical | critical moments | moments | moments year | year,moments | moments year | year,moments year | moments | year,3
critical moments year,moments year might,9,0,critical | critical moments | moments | moments year | year,might | moments | moments year | year | year might,moments year | moments | year,3
democratic republic,democratic republic congo,9,0,democratic | democratic republic | republic,congo | democratic | democratic republic | republic | republic congo,democratic republic | democratic | republic,3
democratic republic congo,republic congo,9,0,congo | democratic | democratic republic | republic | republic congo,congo | republic | republic congo,republic congo | congo | republic,3
explore critical,explore critical moments,9,0,critical | explore | explore critical,critical | critical moments | explore | explore critical | moments,explore critical | critical | explore,3
explore critical,writers explore critical,9,0,critical | explore | explore critical,critical | explore | explore critical | writers | writers explore,explore critical | critical | explore,3
explore critical moments,writers explore critical,9,0,critical | critical moments | explore | explore critical | moments,critical | explore | explore critical | writers | writers explore,explore critical | critical | explore,3
mean year,mean year ahead,9,0,mean | mean year | year,ahead | mean | mean year | year | year ahead,mean year | mean | year,3
mean year,might mean year,9,0,mean | mean year | year,mean | mean year | might | might mean | year,mean year | mean | year,3
mean year ahead,might mean year,9,0,ahead | mean | mean year | year | year ahead,mean | mean year | might | might mean | year,mean year | mean | year,3
mean year ahead,year ahead,9,0,ahead | mean | mean year | year | year ahead,ahead | year | year ahead,year ahead | ahead | year,3
mean year ahead,year ahead read,9,0,ahead | mean | mean year | year | year ahead,ahead | ahead read | read | year | year ahead,year ahead | ahead | year,3
might mean,might mean year,9,0,mean | might | might mean,mean | mean year | might | might mean | year,might mean | mean | might,3
might mean,year might mean,9,0,mean | might | might mean,mean | might | might mean | year | year might,might mean | mean | might,3
moments year,moments year might,9,0,moments | moments year | year,might | moments | moments year | year | year might,moments year | moments | year,3
moments year might,year might,9,0,might | moments | moments year | year | year might,might | year | year might,year might | might | year,3
moments year might,year might mean,9,0,might | moments | moments year | year | year might,mean | might | might mean | year | year might,year might | might | year,3
nations climate,united nations climate,9,0,climate | nations | nations climate,climate | nations | nations climate | united | united nations,nations climate | climate | nations,3
part series,part series called,9,0,part | part series | series,called | part | part series | series | series called,part series | part | series,3
part series called,series called,9,0,called | part | part series | series | series called,called | series | series called,series called | called | series,3
part series called,series called turning,9,0,called | part | part series | series | series called,called | called turning | series | series called | turning,series called | called | series,3
points series,points series page,9,0,points | points series | series,page | points | points series | series | series page,points series | points | series,3
points series,turning points series,9,0,points | points series | series,points | points series | series | turning | turning points,points series | points | series,3
points series page,series page,9,0,page | points | points series | series | series page,page | series | series page,series page | page | series,3
points series page,turning points series,9,0,page | points | points series | series | series page,points | points series | series | turning | turning points,points series | points | series,3
points writers,points writers explore,9,0,points | points writers | writers,explore | points | points writers | writers | writers explore,points writers | points | writers,3
points writers,turning points writers,9,0,points | points writers | writers,points | points writers | turning | turning points | writers,points writers | points | writers,3
points writers explore,turning points writers,9,0,explore | points | points writers | writers | writers explore,points | points writers | turning | turning points | writers,points writers | points | writers,3
points writers explore,writers explore,9,0,explore | points | points writers | writers | writers explore,explore | writers | writers explore,writers explore | explore | writers,3
points writers explore,writers explore critical,9,0,explore | points | points writers | writers | writers explore,critical | explore | explore critical | writers | writers explore,writers explore | explore | writers,3
positive banned,positive banned drug,9,0,banned | positive | positive banned,banned | banned drug | drug | positive | positive banned,positive banned | banned | positive,3
positive banned,tested positive banned,9,0,banned | positive | positive banned,banned | positive | positive banned | tested | tested positive,positive banned | banned | positive,3
positive banned drug,tested positive banned,9,0,banned | banned drug | drug | positive | positive banned,banned | positive | positive banned | tested | tested positive,positive banned | banned | positive,3
read visiting,read visiting turning,9,0,read | read visiting | visiting,read | read visiting | turning | visiting | visiting turning,read visiting | read | visiting,3
read visiting turning,visiting turning,9,0,read | read visiting | turning | visiting | visiting turning,turning | visiting | visiting turning,visiting turning | turning | visiting,3
read visiting turning,visiting turning points,9,0,read | read visiting | turning | visiting | visiting turning,points | turning | turning points | visiting | visiting turning,visiting turning | turning | visiting,3
series called,series called turning,9,0,called | series | series called,called | called turning | series | series called | turning,series called | called | series,3
turning points,turning points series,9,0,points | turning | turning points,points | points series | series | turning | turning points,turning points | points | turning,3
turning points,turning points writers,9,0,points | turning | turning points,points | points writers | turning | turning points | writers,turning points | points | turning,3
turning points,visiting turning points,9,0,points | turning | turning points,points | turning | turning points | visiting | visiting turning,turning points | points | turning,3
turning points series,turning points writers,9,0,points | points series | series | turning | turning points,points | points writers | turning | turning points | writers,turning points | points | turning,3
turning points series,visiting turning points,9,0,points | points series | series | turning | turning points,points | turning | turning points | visiting | visiting turning,turning points | points | turning,3
turning points writers,visiting turning points,9,0,points | points writers | turning | turning points | writers,points | turning | turning points | visiting | visiting turning,turning points | points | turning,3
united nations,united nations climate,9,0,nations | united | united nations,climate | nations | nations climate | united | united nations,united nations | nations | united,3
visiting turning,visiting turning points,9,0,turning | visiting | visiting turning,points | turning | turning points | visiting | visiting turning,visiting turning | turning | visiting,3
writers explore,writers explore critical,9,0,explore | writers | writers explore,critical | explore | explore critical | writers | writers explore,writers explore | explore | writers,3
year ahead,year ahead read,9,0,ahead | year | year ahead,ahead | ahead read | read | year | year ahead,year ahead | ahead | year,3
year might,year might mean,9,0,might | year | year might,mean | might | might mean | year | year might,year might | might | year,3
african country,west african country,8,0,african | african country | country,african | african country | country | west | west african,african country | african | country,3
association realtors,national association realtors,8,0,association | association realtors | realtors,association | association realtors | national | national association | realtors,association realtors | association | realtors,3
burning fossil fuels,fossil fuels,8,0,burning | burning fossil | fossil | fossil fuels | fuels,fossil | fossil fuels | fuels,fossil fuels | fossil | fuels,3
burning planet,eat burning planet,8,0,burning | burning planet | planet,burning | burning planet | eat | eat burning | planet,burning planet | burning | planet,3
chair federal reserve,federal reserve officials,8,0,chair | chair federal | federal | federal reserve | reserve,federal | federal reserve | officials | reserve | reserve officials,federal reserve | federal | reserve,3
civil rights,civil rights movement,8,0,civil | civil rights | rights,civil | civil rights | movement | rights | rights movement,civil rights | civil | rights,3
civil rights movement,rights movement,8,0,civil | civil rights | movement | rights | rights movement,movement | rights | rights movement,rights movement | movement | rights,3
eat burning,eat burning planet,8,0,burning | eat | eat burning,burning | burning planet | eat | eat burning | planet,eat burning | burning | eat,3
environmental protection,environmental protection agency,8,0,environmental | environmental protection | protection,agency | environmental | environmental protection | protection | protection agency,environmental protection | environmental | protection,3
environmental protection agency,protection agency,8,0,agency | environmental | environmental protection | protection | protection agency,agency | protection | protection agency,protection agency | agency | protection,3
far right,far right national,8,0,far | far right | right,far | far right | national | right | right national,far right | far | right,3
far right national,right national,8,0,far | far right | national | right | right national,national | right | right national,right national | national | right,3
gas emissions,greenhouse gas emissions,8,0,emissions | gas | gas emissions,emissions | gas | gas emissions | greenhouse | greenhouse gas,gas emissions | emissions | gas,3
greenhouse gas,greenhouse gas emissions,8,0,gas | greenhouse | greenhouse gas,emissions | gas | gas emissions | greenhouse | greenhouse gas,greenhouse gas | gas | greenhouse,3
israeli soccer,israeli soccer fans,8,0,israeli | israeli soccer | soccer,fans | israeli | israeli soccer | soccer | soccer fans,israeli soccer | israeli | soccer,3
israeli soccer fans,soccer fans,8,0,fans | israeli | israeli soccer | soccer | soccer fans,fans | soccer | soccer fans,soccer fans | fans | soccer,3
national association,national association realtors,8,0,association | national | national association,association | association realtors | national | national association | realtors,national association | association | national,3
new paperbacks,new paperbacks read,8,0,new | new paperbacks | paperbacks,new | new paperbacks | paperbacks | paperbacks read | read,new paperbacks | new | paperbacks,3
new paperbacks read,paperbacks read,8,0,new | new paperbacks | paperbacks | paperbacks read | read,paperbacks | paperbacks read | read,paperbacks read | paperbacks | read,3
new paperbacks read,paperbacks read week,8,0,new | new paperbacks | paperbacks | paperbacks read | read,paperbacks | paperbacks read | read | read week | week,paperbacks read | paperbacks | read,3
new york,new york times,8,0,new | new york | york,new | new york | times | york | york times,new york | new | york,3
war ii,world war ii,8,0,ii | war | war ii,ii | war | war ii | world | world war,war ii | ii | war,3
west african,west african country,8,0,african | west | west african,african | african country | country | west | west african,west african | african | west,3
world war,world war ii,8,0,war | world | world war,ii | war | war ii | world | world war,world war | war | world,3
11 2001,sept 11 2001,7,0,11 | 11 2001 | 2001,11 | 11 2001 | 2001 | sept | sept 11,11 2001 | 11 | 2001,3
asylum seekers,asylum seekers rwanda,7,0,asylum | asylum seekers | seekers,asylum | asylum seekers | rwanda | seekers | seekers rwanda,asylum seekers | asylum | seekers,3
asylum seekers rwanda,seekers rwanda,7,0,asylum | asylum seekers | rwanda | seekers | seekers rwanda,rwanda | seekers | seekers rwanda,seekers rwanda | rwanda | seekers,3
barclay opinion,barclay opinion climate,7,0,barclay | barclay opinion | opinion,barclay | barclay opinion | climate | opinion | opinion climate,barclay opinion | barclay | opinion,3
barclay opinion,eliza barclay opinion,7,0,barclay | barclay opinion | opinion,barclay | barclay opinion | eliza | eliza barclay | opinion,barclay opinion | barclay | opinion,3
barclay opinion climate,eliza barclay opinion,7,0,barclay | barclay opinion | climate | opinion | opinion climate,barclay | barclay opinion | eliza | eliza barclay | opinion,barclay opinion | barclay | opinion,3
barclay opinion climate,opinion climate,7,0,barclay | barclay opinion | climate | opinion | opinion climate,climate | opinion | opinion climate,opinion climate | climate | opinion,3
barclay opinion climate,opinion climate editor,7,0,barclay | barclay opinion | climate | opinion | opinion climate,climate | climate editor | editor | opinion | opinion climate,opinion climate | climate | opinion,3
bold ideas,bold ideas secure,7,0,bold | bold ideas | ideas,bold | bold ideas | ideas | ideas secure | secure,bold ideas | bold | ideas,3
bold ideas,exploring bold ideas,7,0,bold | bold ideas | ideas,bold | bold ideas | exploring | exploring bold | ideas,bold ideas | bold | ideas,3
bold ideas secure,exploring bold ideas,7,0,bold | bold ideas | ideas | ideas secure | secure,bold | bold ideas | exploring | exploring bold | ideas,bold ideas | bold | ideas,3
bold ideas secure,ideas secure,7,0,bold | bold ideas | ideas | ideas secure | secure,ideas | ideas secure | secure,ideas secure | ideas | secure,3
bold ideas secure,ideas secure food,7,0,bold | bold ideas | ideas | ideas secure | secure,food | ideas | ideas secure | secure | secure food,ideas secure | ideas | secure,3
burning planet,burning planet series,7,0,burning | burning planet | planet,burning | burning planet | planet | planet series | series,burning planet | burning | planet,3
burning planet series,eat burning planet,7,0,burning | burning planet | planet | planet series | series,burning | burning planet | eat | eat burning | planet,burning planet | burning | planet,3
burning planet series,planet series,7,0,burning | burning planet | planet | planet series | series,planet | planet series | series,planet series | planet | series,3
burning planet series,planet series exploring,7,0,burning | burning planet | planet | planet series | series,exploring | planet | planet series | series | series exploring,planet series | planet | series,3
climate change,combat climate change,7,0,change | climate | climate change,change | climate | climate change | combat | combat climate,climate change | change | climate,3
climate change,effects climate change,7,0,change | climate | climate change,change | climate | climate change | effects | effects climate,climate change | change | climate,3
climate editor,opinion climate editor,7,0,climate | climate editor | editor,climate | climate editor | editor | opinion | opinion climate,climate editor | climate | editor,3
combat climate,combat climate change,7,0,climate | combat | combat climate,change | climate | climate change | combat | combat climate,combat climate | climate | combat,3
eliza barclay,eliza barclay opinion,7,0,barclay | eliza | eliza barclay,barclay | barclay opinion | eliza | eliza barclay | opinion,eliza barclay | barclay | eliza,3
eliza barclay,note eliza barclay,7,0,barclay | eliza | eliza barclay,barclay | eliza | eliza barclay | note | note eliza,eliza barclay | barclay | eliza,3
eliza barclay opinion,note eliza barclay,7,0,barclay | barclay opinion | eliza | eliza barclay | opinion,barclay | eliza | eliza barclay | note | note eliza,eliza barclay | barclay | eliza,3
exploring bold,exploring bold ideas,7,0,bold | exploring | exploring bold,bold | bold ideas | exploring | exploring bold | ideas,exploring bold | bold | exploring,3
exploring bold,series exploring bold,7,0,bold | exploring | exploring bold,bold | exploring | exploring bold | series | series exploring,exploring bold | bold | exploring,3
exploring bold ideas,series exploring bold,7,0,bold | bold ideas | exploring | exploring bold | ideas,bold | exploring | exploring bold | series | series exploring,exploring bold | bold | exploring,3
far right,far right party,7,0,far | far right | right,far | far right | party | right | right party,far right | far | right,3
far right national,right national rally,7,0,far | far right | national | right | right national,national | national rally | rally | right | right national,right national | national | right,3
far right party,right party,7,0,far | far right | party | right | right party,party | right | right party,right party | party | right,3
follow live,follow live updates,7,0,follow | follow live | live,follow | follow live | live | live updates | updates,follow live | follow | live,3
follow live updates,live updates,7,0,follow | follow live | live | live updates | updates,live | live updates | updates,live updates | live | updates,3
food supply,food supply read,7,0,food | food supply | supply,food | food supply | read | supply | supply read,food supply | food | supply,3
food supply,secure food supply,7,0,food | food supply | supply,food | food supply | secure | secure food | supply,food supply | food | supply,3
food supply read,secure food supply,7,0,food | food supply | read | supply | supply read,food | food supply | secure | secure food | supply,food supply | food | supply,3
food supply read,supply read,7,0,food | food supply | read | supply | supply read,read | supply | supply read,supply read | read | supply,3
food supply read,supply read project,7,0,food | food supply | read | supply | supply read,project | read | read project | supply | supply read,supply read | read | supply,3
ideas secure,ideas secure food,7,0,ideas | ideas secure | secure,food | ideas | ideas secure | secure | secure food,ideas secure | ideas | secure,3
ideas secure food,secure food,7,0,food | ideas | ideas secure | secure | secure food,food | secure | secure food,secure food | food | secure,3
ideas secure food,secure food supply,7,0,food | ideas | ideas secure | secure | secure food,food | food supply | secure | secure food | supply,secure food | food | secure,3
national rally,right national rally,7,0,national | national rally | rally,national | national rally | rally | right | right national,national rally | national | rally,3
note eliza,note eliza barclay,7,0,eliza | note | note eliza,barclay | eliza | eliza barclay | note | note eliza,note eliza | eliza | note,3
note eliza,project note eliza,7,0,eliza | note | note eliza,eliza | note | note eliza | project | project note,note eliza | eliza | note,3
note eliza barclay,project note eliza,7,0,barclay | eliza | eliza barclay | note | note eliza,eliza | note | note eliza | project | project note,note eliza | eliza | note,3
opinion climate,opinion climate editor,7,0,climate | opinion | opinion climate,climate | climate editor | editor | opinion | opinion climate,opinion climate | climate | opinion,3
planet series,planet series exploring,7,0,planet | planet series | series,exploring | planet | planet series | series | series exploring,planet series | planet | series,3
planet series exploring,series exploring,7,0,exploring | planet | planet series | series | series exploring,exploring | series | series exploring,series exploring | exploring | series,3
planet series exploring,series exploring bold,7,0,exploring | planet | planet series | series | series exploring,bold | exploring | exploring bold | series | series exploring,series exploring | exploring | series,3
project note,project note eliza,7,0,note | project | project note,eliza | note | note eliza | project | project note,project note | note | project,3
project note,read project note,7,0,note | project | project note,note | project | project note | read | read project,project note | note | project,3
project note eliza,read project note,7,0,eliza | note | note eliza | project | project note,note | project | project note | read | read project,project note | note | project,3
read project,read project note,7,0,project | read | read project,note | project | project note | read | read project,read project | project | read,3
read project,supply read project,7,0,project | read | read project,project | read | read project | supply | supply read,read project | project | read,3
read project note,supply read project,7,0,note | project | project note | read | read project,project | read | read project | supply | supply read,read project | project | read,3
right national,right national rally,7,0,national | right | right national,national | national rally | rally | right | right national,right national | national | right,3
secure food,secure food supply,7,0,food | secure | secure food,food | food supply | secure | secure food | supply,secure food | food | secure,3
sept 11,sept 11 2001,7,0,11 | sept | sept 11,11 | 11 2001 | 2001 | sept | sept 11,sept 11 | 11 | sept,3
series exploring,series exploring bold,7,0,exploring | series | series exploring,bold | exploring | exploring bold | series | series exploring,series exploring | exploring | series,3
supply read,supply read project,7,0,read | supply | supply read,project | read | read project | supply | supply read,supply read | read | supply,3
23 elite,23 elite chinese,6,0,23 | 23 elite | elite,23 | 23 elite | chinese | elite | elite chinese,23 elite | 23 | elite,3
23 elite chinese,elite chinese,6,0,23 | 23 elite | chinese | elite | elite chinese,chinese | elite | elite chinese,elite chinese | chinese | elite,3
23 elite chinese,elite chinese swimmers,6,0,23 | 23 elite | chinese | elite | elite chinese,chinese | chinese swimmers | elite | elite chinese | swimmers,elite chinese | chinese | elite,3
african nation,west african nation,6,0,african | african nation | nation,african | african nation | nation | west | west african,african nation | african | nation,3
alternative germany,alternative germany party,6,0,alternative | alternative germany | germany,alternative | alternative germany | germany | germany party | party,alternative germany | alternative | germany,3
alternative germany,right alternative germany,6,0,alternative | alternative germany | germany,alternative | alternative germany | germany | right | right alternative,alternative germany | alternative | germany,3
alternative germany party,germany party,6,0,alternative | alternative germany | germany | germany party | party,germany | germany party | party,germany party | germany | party,3
asylum seekers,send asylum seekers,6,0,asylum | asylum seekers | seekers,asylum | asylum seekers | seekers | send | send asylum,asylum seekers | asylum | seekers,3
asylum seekers rwanda,send asylum seekers,6,0,asylum | asylum seekers | rwanda | seekers | seekers rwanda,asylum | asylum seekers | seekers | send | send asylum,asylum seekers | asylum | seekers,3
automobile workers,automobile workers union,6,0,automobile | automobile workers | workers,automobile | automobile workers | union | workers | workers union,automobile workers | automobile | workers,3
automobile workers union,workers union,6,0,automobile | automobile workers | union | workers | workers union,union | workers | workers union,workers union | union | workers,3
book review,book review including,6,0,book | book review | review,book | book review | including | review | review including,book review | book | review,3
book review including,review including,6,0,book | book review | including | review | review including,including | review | review including,review including | including | review,3
book review including,review including titles,6,0,book | book review | including | review | review including,including | including titles | review | review including | titles,review including | including | review,3
